subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
45,ISRSL0_wiener,0.077,0.3,5.0,30.1790066371349,0.23329024744235374,0.8293531678001876
45,ISRSL0_BM3D,0.077,0.3,5.0,29.504328860932386,0.19058904601477591,0.748046155256913
45,SL0,0.077,0.3,5.0,26.767952898107662,0.2742234346789779,0.6180929273713391
45,Zero-filled,,,,26.710995045294265,0.27429453876071586,0.6169278520139029
46,ISRSL0_wiener,0.077,0.3,5.0,28.005527843977877,0.2040782033480293,0.8140901673922718
46,ISRSL0_BM3D,0.077,0.3,5.0,27.452117407022886,0.16226316788550615,0.7402758512263123
46,SL0,0.077,0.3,5.0,25.87222075672361,0.23737502394813226,0.6322877091107963
46,Zero-filled,,,,25.806521316610226,0.23746128805506317,0.6311357001005674
47,ISRSL0_wiener,0.077,0.3,5.0,28.941894934057263,0.21844074349760104,0.8128024083063806
47,ISRSL0_BM3D,0.077,0.3,5.0,27.38907530668627,0.18039825455216804,0.7507725953932772
47,SL0,0.077,0.3,5.0,25.297254478536804,0.25990454016151593,0.6301755066221493
47,Zero-filled,,,,25.203105093260362,0.26002825960035764,0.6286101250197825
48,ISRSL0_wiener,0.077,0.3,5.0,28.075055623730076,0.28372774296310144,0.800801548302856
48,ISRSL0_BM3D,0.077,0.3,5.0,26.805659971741807,0.24175687322657036,0.7486631396072456
48,SL0,0.077,0.3,5.0,25.066623405446865,0.3170492955880036,0.6259434727599458
48,Zero-filled,,,,24.96148423827336,0.3171647396971778,0.6244948927961448
49,ISRSL0_wiener,0.077,0.3,5.0,29.1535948859297,0.24171726035039584,0.8109845203344732
49,ISRSL0_BM3D,0.077,0.3,5.0,27.740123780651324,0.20546163451194493,0.7637693341519529
49,SL0,0.077,0.3,5.0,26.62155132990392,0.278852753790549,0.6583370766311302
49,Zero-filled,,,,26.53612394573016,0.2789443611307467,0.6570573435943624
50,ISRSL0_wiener,0.077,0.3,5.0,23.98331159746163,0.24591556017800192,0.7158248610647552
50,ISRSL0_BM3D,0.077,0.3,5.0,22.53893015118601,0.20598565390213577,0.6333396412895008
50,SL0,0.077,0.3,5.0,20.718702821020706,0.29035340021319295,0.5134637630678467
50,Zero-filled,,,,20.624680254435237,0.29067058089668735,0.5113941972990717
51,ISRSL0_wiener,0.077,0.3,5.0,28.165807442390438,0.28653517518853494,0.8178865801617722
51,ISRSL0_BM3D,0.077,0.3,5.0,27.801698833314997,0.2469233895145851,0.7838172876943061
51,SL0,0.077,0.3,5.0,25.448396408847024,0.3174571421915532,0.6695814570220276
51,Zero-filled,,,,25.336444137663822,0.31754484411228745,0.6682722277502411
52,ISRSL0_wiener,0.077,0.3,5.0,28.591272449770496,0.23437418051864464,0.842717846545105
52,ISRSL0_BM3D,0.077,0.3,5.0,29.15338246162314,0.19649229093324522,0.8163679413934302
52,SL0,0.077,0.3,5.0,24.740379792053538,0.260509618181171,0.6951026107600627
52,Zero-filled,,,,24.63313432140582,0.2606125068635339,0.6937341031036303
53,ISRSL0_wiener,0.077,0.3,5.0,27.56905262703758,0.2727163498023365,0.7882887204848215
53,ISRSL0_BM3D,0.077,0.3,5.0,27.317224354430607,0.2302275702905214,0.7396847468685955
53,SL0,0.077,0.3,5.0,25.39784377985198,0.3189656462249943,0.6179770580549864
53,Zero-filled,,,,25.30570459175333,0.3190791078519375,0.6164747773424483
54,ISRSL0_wiener,0.077,0.3,5.0,28.092171345743097,0.2413453362923801,0.8102844222017572
54,ISRSL0_BM3D,0.077,0.3,5.0,26.328714830480212,0.20638690832736528,0.7516849156923663
54,SL0,0.077,0.3,5.0,23.208439067324193,0.2799922785938468,0.6137003416795792
54,Zero-filled,,,,23.107162208328013,0.2801683931769369,0.6119317224495724
55,ISRSL0_wiener,0.077,0.3,5.0,32.6476388101138,0.15559701186867342,0.8852297351047698
55,ISRSL0_BM3D,0.077,0.3,5.0,30.55646862062868,0.1392768870645091,0.8349618632905884
55,SL0,0.077,0.3,5.0,27.925322556185247,0.1815611689307947,0.7366732190060503
55,Zero-filled,,,,27.859199530395585,0.18160804168139547,0.7357612374243105
56,ISRSL0_wiener,0.077,0.3,5.0,27.550953602555648,0.2933345690150432,0.7469687949623955
56,ISRSL0_BM3D,0.077,0.3,5.0,26.048181934236794,0.24569747820719307,0.6752379631821247
56,SL0,0.077,0.3,5.0,24.70161336043993,0.35494397039274006,0.5605180561055664
56,Zero-filled,,,,24.613002787997168,0.35510308407110047,0.5587957791047858
57,ISRSL0_wiener,0.077,0.3,5.0,27.287164382147008,0.20713854306994456,0.8081602279069017
57,ISRSL0_BM3D,0.077,0.3,5.0,26.786259303201703,0.1726445404659758,0.7427096901231981
57,SL0,0.077,0.3,5.0,24.76907572304222,0.24520686650224782,0.629815243289806
57,Zero-filled,,,,24.667219317067012,0.24533881617939848,0.6280642540771606
58,ISRSL0_wiener,0.077,0.3,5.0,28.28872689754485,0.21263074255458533,0.7951360968857226
58,ISRSL0_BM3D,0.077,0.3,5.0,27.075828087501336,0.1812927252888182,0.7343211996329456
