subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
41,ISRSL0_wiener,0.077,0.3,5.0,24.450069831449824,0.35363274100844444,0.6932571141476501
41,ISRSL0_BM3D,0.077,0.3,5.0,25.190244825883084,0.3325647688124727,0.6974581498919723
41,SL0,0.077,0.3,5.0,21.644980594135646,0.34628765950519835,0.5921786678214609
41,Zero-filled,,,,21.13958141761629,0.34643894337120285,0.5886621273862703
42,ISRSL0_wiener,0.077,0.3,5.0,26.84378914695901,0.2573993136900784,0.7326000612207532
42,ISRSL0_BM3D,0.077,0.3,5.0,27.648003011733763,0.24067819813772112,0.7453088764060422
42,SL0,0.077,0.3,5.0,26.36229561312281,0.2527412302470516,0.6625338767640977
42,Zero-filled,,,,26.27583065847809,0.25276837127334667,0.6617832007948123
43,ISRSL0_wiener,0.077,0.3,5.0,21.958944698978424,0.3714448430818416,0.6569786984398853
43,ISRSL0_BM3D,0.077,0.3,5.0,23.015572779612377,0.354897888032219,0.6383137723674421
43,SL0,0.077,0.3,5.0,21.464651738758146,0.3676150772906569,0.5582612756903454
43,Zero-filled,,,,21.014405216844565,0.3677814096821168,0.5547559993206954
44,ISRSL0_wiener,0.077,0.3,5.0,26.6993989992335,0.22973262363344457,0.7577295990764242
44,ISRSL0_BM3D,0.077,0.3,5.0,23.440907598630957,0.21530901085038395,0.7338576610357769
44,SL0,0.077,0.3,5.0,23.57734993715666,0.22871466637768897,0.6639479032687035
44,Zero-filled,,,,23.374314595784597,0.22877788595501988,0.662628436475871
45,ISRSL0_wiener,0.077,0.3,5.0,25.65963820195637,0.2938990282399516,0.737969050488997
45,ISRSL0_BM3D,0.077,0.3,5.0,23.85646712043467,0.2777780289170702,0.7169045834059482
45,SL0,0.077,0.3,5.0,21.79687118163202,0.2912760678152218,0.6153493488944624
45,Zero-filled,,,,20.865239161279412,0.2916209302072412,0.6053813096624694
46,ISRSL0_wiener,0.077,0.3,5.0,27.006168587006254,0.2813637549635093,0.7421010068352779
46,ISRSL0_BM3D,0.077,0.3,5.0,26.95378980392457,0.2696075573122733,0.7292799939665408
46,SL0,0.077,0.3,5.0,25.526817862407217,0.2791831023601231,0.6215950833586527
46,Zero-filled,,,,25.398962611689342,0.27921941992628835,0.6201367573127716
47,ISRSL0_wiener,0.077,0.3,5.0,21.730977988530007,0.3313671893573916,0.7039416497172737
47,ISRSL0_BM3D,0.077,0.3,5.0,21.93478286270812,0.3115585777659418,0.7000179849190132
47,SL0,0.077,0.3,5.0,15.689340957111122,0.3238151357265301,0.5457112039704355
47,Zero-filled,,,,14.639459933892061,0.3253026430394114,0.5233328065572602
48,ISRSL0_wiener,0.077,0.3,5.0,26.130632441390066,0.1474661811529921,0.8121343703509213
48,ISRSL0_BM3D,0.077,0.3,5.0,26.759256937709406,0.13813713107580272,0.8269643660341907
48,SL0,0.077,0.3,5.0,25.42681110789711,0.14921859663805945,0.7307409262482911
48,Zero-filled,,,,25.208176395502228,0.14932239082030582,0.7285760643489351
49,ISRSL0_wiener,0.077,0.3,5.0,26.629538230040236,0.28293719303608733,0.7395986791798164
49,ISRSL0_BM3D,0.077,0.3,5.0,24.2701658049959,0.2650152699724364,0.7169650946416432
49,SL0,0.077,0.3,5.0,22.81629083822495,0.2801031389199469,0.614331977292736
49,Zero-filled,,,,22.065898189454877,0.28037994422779705,0.6064450953159092
50,ISRSL0_wiener,0.077,0.3,5.0,24.99645485951615,0.27892773054823566,0.7258968691641605
50,ISRSL0_BM3D,0.077,0.3,5.0,23.77443553526576,0.2544961889362269,0.7353102421993043
50,SL0,0.077,0.3,5.0,23.505829410992067,0.2703570504468618,0.6436145383387991
50,Zero-filled,,,,23.170304655873757,0.2705048191331133,0.6410577948599335
51,ISRSL0_wiener,0.077,0.3,5.0,28.399429203006253,0.24176441414729674,0.7855177814906167
51,ISRSL0_BM3D,0.077,0.3,5.0,26.758423660976547,0.23091070234594488,0.7750571770902156
51,SL0,0.077,0.3,5.0,19.884623864064398,0.24597732471672568,0.6102842423357075
51,Zero-filled,,,,19.119492074451326,0.2464773960575957,0.5973673187989917
52,ISRSL0_wiener,0.077,0.3,5.0,26.71623616467187,0.30157145766020393,0.7366599610788191
52,ISRSL0_BM3D,0.077,0.3,5.0,24.85843164715156,0.28502131962190314,0.7047238092627571
52,SL0,0.077,0.3,5.0,22.591546972389054,0.2977201002533109,0.597743286033721
52,Zero-filled,,,,22.071507158914862,0.2978599771510115,0.5935640170799215
53,ISRSL0_wiener,0.077,0.3,5.0,29.147427558005408,0.30708628750526606,0.7453329352574531
53,ISRSL0_BM3D,0.077,0.3,5.0,24.868531015587006,0.29615819218512196,0.7106028895767666
53,SL0,0.077,0.3,5.0,23.119870683363605,0.30523588819219866,0.6273974433586457
53,Zero-filled,,,,22.087280378494043,0.30554894535380966,0.6168204889883683
54,ISRSL0_wiener,0.077,0.3,5.0,31.586338175302295,0.20147013728089405,0.8243447764467366
54,ISRSL0_BM3D,0.077,0.3,5.0,30.0127786003244,0.19164445027478816,0.8167292428579134
54,SL0,0.077,0.3,5.0,27.943674964970025,0.2069507600304075,0.705972606807833
54,Zero-filled,,,,27.554300322486572,0.20701404541790827,0.7017949338561197
55,ISRSL0_wiener,0.077,0.3,5.0,19.725573648498905,0.3365910919714403,0.6733695612231322
55,ISRSL0_BM3D,0.077,0.3,5.0,20.943389624816877,0.3098973142334872,0.6679801619959315
55,SL0,0.077,0.3,5.0,19.04921944420745,0.32119058438756615,0.5706679493908177
55,Zero-filled,,,,18.153832076075606,0.32174992463136914,0.559730095800795
56,ISRSL0_wiener,0.077,0.3,5.0,25.26230647513792,0.4338482959487453,0.622468989010518
56,ISRSL0_BM3D,0.077,0.3,5.0,24.154963047310787,0.41572936511876446,0.617365734472066
56,SL0,0.077,0.3,5.0,22.305182498419832,0.4254743507714189,0.552429469886607
56,Zero-filled,,,,21.78012303229902,0.42557148088087765,0.5501239042072593
